"","x"
"314","LINC01715"
"315","AL360012.1"
"316","GMEB1"
"317","YTHDF2"
"318","EPB41"
"319","SRSF4"
"320","MECR"
"321","MATN1"
"322","MATN1-AS1"
"323","LAPTM5"
"324","SDC3"
"325","PUM1"
"326","SNRNP40"
"327","ZCCHC17"
"328","SERINC2"
"329","PEF1"
"330","AC114488.3"
"331","ADGRB2"
"332","AL354919.1"
"333","PTP4A2"
"334","KHDRBS1"
"335","TMEM39B"
"336","KPNA6"
"337","TXLNA"
"338","CCDC28B"
"339","IQCC"
"340","TMEM234"
"341","EIF3I"
"342","FAM167B"
"343","LCK"
"344","HDAC1"
"345","MARCKSL1"
"346","FAM229A"
"347","BSDC1"
"348","ZBTB8A"
"349","ZBTB8OS"
"350","RBBP4"
"351","SYNC"
"352","KIAA1522"
"353","YARS"
"354","S100PBP"
"355","HPCA"
"356","TMEM54"
"357","RNF19B"
"358","AK2"
"359","AZIN2"
"360","TRIM62"
"361","ZNF362"
"362","PHC2"
"363","ZSCAN20"
"364","SMIM12"
"365","DLGAP3"
"366","AC114490.3"
"367","AC114490.2"
"368","TMEM35B"
"369","ZMYM6"
"370","ZMYM1"
"371","SFPQ"
"372","ZMYM4"
"373","ZMYM4-AS1"
"374","KIAA0319L"
"375","NCDN"
"376","AC004865.2"
"377","TFAP2E"
"378","PSMB2"
"379","C1orf216"
"380","CLSPN"
"381","AGO4"
"382","AGO1"
"383","AGO3"
"384","ADPRHL2"
"385","TRAPPC3"
"386","MAP7D1"
"387","THRAP3"
"388","SH3D21"
"389","EVA1B"
"390","STK40"
"391","LSM10"
"392","OSCP1"
"393","MRPS15"
"394","LINC01137"
"395","ZC3H12A"
"396","MEAF6"
"397","SNIP1"
"398","DNALI1"
"399","GNL2"
"400","C1orf109"
"401","CDCA8"
"402","MANEAL"
"403","YRDC"
"404","C1orf122"
"405","MTF1"
"406","INPP5B"
"407","SF3A3"
"408","FHL3"
"409","UTP11"
"410","POU3F1"
"411","AL139158.2"
"412","RRAGC"
"413","AL139260.1"
"414","MYCBP"
"415","AKIRIN1"
"416","NDUFS5"
"417","MACF1"
"418","BMP8A"
"419","PABPC4"
"420","HPCAL4"
"421","PPIE"
"422","BMP8B"
"423","OXCT2"
"424","AL033527.5"
"425","TRIT1"
"426","MYCL"
"427","MFSD2A"
"428","CAP1"
"429","PPT1"
"430","RLF"
"431","AL050341.2"
"432","ZMPSTE24"
"433","COL9A2"
"434","SMAP2"
"435","AL031985.4"
"436","ZFP69B"
"437","ZFP69"
"438","AL603839.3"
"439","EXO5"
"440","ZNF684"
"441","RIMS3"
"442","NFYC-AS1"
"443","NFYC"
"444","CITED4"
"445","CTPS1"
"446","SLFNL1"
"447","SCMH1"
"448","HIVEP3"
"449","FOXJ3"
"450","RIMKLA"
"451","ZMYND12"
"452","PPCS"
"453","CCDC30"
"454","PPIH"
"455","YBX1"
"456","P3H1"
"457","C1orf50"
"458","AC098484.3"
"459","SVBP"
"460","ERMAP"
"461","AL512353.1"
"462","ZNF691"
"463","SLC2A1"
"464","SLC2A1-AS1"
"465","EBNA1BP2"
"466","AL139289.2"
"467","CDC20"
"468","ELOVL1"
"469","MED8"
"470","SZT2"
"471","HYI"
"472","PTPRF"
"473","AL451062.3"
"474","KDM4A"
"475","KDM4A-AS1"
"476","ST3GAL3"
"477","IPO13"
"478","DPH2"
"479","ATP6V0B"
"480","CCDC24"
"481","SLC6A9"
"482","AL139220.2"
"483","DMAP1"
"484","ERI3"
"485","RNF220"
"486","TMEM53"
"487","ARMH1"
"488","KIF2C"
"489","AL592166.1"
"490","RPS8"
"491","BEST4"
"492","PLK3"
"493","BTBD19"
"494","PTCH2"
"495","EIF2B3"
"496","HECTD3"
"497","UROD"
"498","ZSWIM5"
"499","LINC01144"
"500","HPDL"
"501","MUTYH"
"502","TOE1"
"503","TESK2"
"504","CCDC163"
"505","MMACHC"
"506","PRDX1"
"507","AKR1A1"
"508","NASP"
"509","CCDC17"
"510","GPBP1L1"
"511","TMEM69"
"512","IPP"
"513","MAST2"
"514","PIK3R3"
"515","POMGNT1"
"516","RAD54L"
"517","LRRC41"
"518","UQCRH"
"519","NSUN4"
"520","FAAH"
"521","MKNK1"
"522","MOB3C"
"523","ATPAF1"
"524","EFCAB14"
"525","STIL"
"526","CMPK1"
"527","FOXD2-AS1"
"528","FOXD2"
"529","SPATA6"
"530","BEND5"
"531","ELAVL4"
"532","FAF1"
"533","CDKN2C"
"534","RNF11"
"535","EPS15"
"536","AC104170.1"
"537","OSBPL9"
"538","NRDC"
"539","AL050343.1"
"540","TXNDC12"
"541","KTI12"
"542","BTF3L4"
"543","ZFYVE9"
"544","CC2D1B"
"545","ORC1"
"546","PRPF38A"
"547","TUT4"
"548","GPX7"
"549","SHISAL2A"
"550","COA7"
"551","ZYG11B"
"552","ECHDC2"
"553","SCP2"
"554","CPT2"
"555","C1orf123"
"556","AL606760.3"
"557","MAGOH"
"558","AL606760.1"
"559","LRP8"
"560","LINC01771"
"561","AC119428.2"
"562","NDC1"
"563","YIPF1"
"564","HSPB11"
"565","LRRC42"
"566","TMEM59"
"567","TCEANC2"
"568","CYB5RL"
"569","MRPL37"
"570","SSBP3"
"571","ACOT11"
"572","TTC4"
"573","PARS2"
"574","TTC22"
"575","LEXM"
"576","DHCR24"
"577","USP24"
"578","MIR4422HG"
"579","PLPP3"
"580","DAB1"
"581","OMA1"
"582","MYSM1"
"583","JUN"
"584","LINC01135"
"585","AL136985.2"
"586","AC105277.1"
