"","x"
"311","HMGCL"
"312","FUCA1"
"313","CNR2"
"314","PNRC2"
"315","SRSF10"
"316","IFNLR1"
"317","GRHL3"
"318","STPG1"
"319","NIPAL3"
"320","RCAN3"
"321","AL445686.2"
"322","NCMAP"
"323","SRRM1"
"324","CLIC4"
"325","RUNX3"
"326","AL031432.1"
"327","SYF2"
"328","AL031432.5"
"329","RSRP1"
"330","AL031432.3"
"331","RHD"
"332","TMEM50A"
"333","RHCE"
"334","MACO1"
"335","LDLRAP1"
"336","AL606491.1"
"337","MAN1C1"
"338","AL031280.1"
"339","SELENON"
"340","AL020996.1"
"341","MTFR1L"
"342","AUNIP"
"343","PAQR7"
"344","STMN1"
"345","PAFAH2"
"346","EXTL1"
"347","PDIK1L"
"348","FAM110D"
"349","ZNF593"
"350","CNKSR1"
"351","CEP85"
"352","SH3BGRL3"
"353","UBXN11"
"354","CD52"
"355","LIN28A"
"356","DHDDS"
"357","HMGN2"
"358","RPS6KA1"
"359","AL512408.1"
"360","ARID1A"
"361","PIGV"
"362","ZDHHC18"
"363","SFN"
"364","GPN2"
"365","GPATCH3"
"366","NUDC"
"367","TRNP1"
"368","TENT5B"
"369","SLC9A1"
"370","WDTC1"
"371","TMEM222"
"372","SYTL1"
"373","MAP3K6"
"374","FCN3"
"375","GPR3"
"376","WASF2"
"377","AHDC1"
"378","FGR"
"379","LINC02574"
"380","IFI6"
"381","FAM76A"
"382","STX12"
"383","PPP1R8"
"384","THEMIS2"
"385","RPA2"
"386","SMPDL3B"
"387","XKR8"
"388","EYA3"
"389","PTAFR"
"390","DNAJC8"
"391","ATP5IF1"
"392","AL353622.1"
"393","SESN2"
"394","MED18"
"395","PHACTR4"
"396","RCC1"
"397","TRNAU1AP"
"398","SNHG12"
"399","TAF12"
"400","RAB42"
"401","LINC01715"
"402","AL360012.1"
"403","GMEB1"
"404","YTHDF2"
"405","OPRD1"
"406","EPB41"
"407","TMEM200B"
"408","SRSF4"
"409","MECR"
"410","PTPRU"
"411","MATN1"
"412","MATN1-AS1"
"413","LAPTM5"
