"","x"
"311","NIPAL3"
"312","RCAN3"
"313","AL445686.2"
"314","NCMAP"
"315","SRRM1"
"316","CLIC4"
"317","RUNX3"
"318","AL031432.1"
"319","SYF2"
"320","RSRP1"
"321","AL031432.3"
"322","RHD"
"323","TMEM50A"
"324","RHCE"
"325","MACO1"
"326","LDLRAP1"
"327","AL606491.1"
"328","MAN1C1"
"329","AL031280.1"
"330","SELENON"
"331","AL020996.1"
"332","MTFR1L"
"333","AUNIP"
"334","AL033528.2"
"335","PAQR7"
"336","STMN1"
"337","PAFAH2"
"338","EXTL1"
"339","SLC30A2"
"340","PDIK1L"
"341","ZNF593"
"342","CNKSR1"
"343","CEP85"
"344","SH3BGRL3"
"345","UBXN11"
"346","CD52"
"347","ZNF683"
"348","DHDDS"
"349","HMGN2"
"350","RPS6KA1"
"351","AL512408.1"
"352","ARID1A"
"353","PIGV"
"354","ZDHHC18"
"355","SFN"
"356","GPN2"
"357","GPATCH3"
"358","NUDC"
"359","TRNP1"
"360","TENT5B"
"361","SLC9A1"
"362","WDTC1"
"363","TMEM222"
"364","SYTL1"
"365","MAP3K6"
"366","GPR3"
"367","WASF2"
"368","BX293535.1"
"369","AHDC1"
"370","FGR"
"371","LINC02574"
"372","IFI6"
"373","FAM76A"
"374","STX12"
"375","PPP1R8"
"376","THEMIS2"
"377","RPA2"
"378","SMPDL3B"
"379","XKR8"
"380","EYA3"
"381","PTAFR"
"382","DNAJC8"
"383","ATP5IF1"
"384","AL353622.1"
"385","SESN2"
"386","MED18"
"387","PHACTR4"
"388","RCC1"
"389","TRNAU1AP"
"390","SNHG12"
"391","TAF12"
"392","RAB42"
"393","LINC01715"
"394","AL360012.1"
"395","GMEB1"
"396","YTHDF2"
"397","EPB41"
"398","TMEM200B"
"399","SRSF4"
"400","MECR"
"401","PTPRU"
"402","MATN1"
"403","MATN1-AS1"
"404","LAPTM5"
"405","LINC01778"
"406","SDC3"
"407","PUM1"
"408","NKAIN1"
"409","SNRNP40"
"410","ZCCHC17"
"411","FABP3"
"412","SERINC2"
"413","TINAGL1"
"414","PEF1"
"415","AC114488.3"
"416","COL16A1"
"417","ADGRB2"
"418","SPOCD1"
"419","AL354919.1"
"420","AL136115.2"
"421","PTP4A2"
"422","KHDRBS1"
"423","AL445248.1"
"424","TMEM39B"
"425","KPNA6"
"426","TXLNA"
"427","CCDC28B"
"428","AL049795.1"
"429","IQCC"
"430","TMEM234"
"431","EIF3I"
"432","FAM167B"
"433","LCK"
"434","HDAC1"
"435","MARCKSL1"
"436","TSSK3"
"437","FAM229A"
"438","BSDC1"
"439","ZBTB8B"
"440","ZBTB8A"
"441","ZBTB8OS"
"442","RBBP4"
"443","SYNC"
"444","KIAA1522"
"445","YARS"
"446","S100PBP"
"447","FNDC5"
"448","HPCA"
"449","TMEM54"
"450","RNF19B"
"451","AL020995.1"
"452","AK2"
"453","AZIN2"
"454","TRIM62"
"455","AL662907.3"
"456","ZNF362"
"457","AL513327.1"
"458","PHC2"
"459","ZSCAN20"
"460","CSMD2"
"461","SMIM12"
"462","GJA4"
"463","DLGAP3"
"464","AC114490.3"
"465","AC114490.2"
"466","TMEM35B"
"467","ZMYM6"
"468","ZMYM1"
"469","AL590434.1"
"470","SFPQ"
"471","ZMYM4"
"472","KIAA0319L"
"473","NCDN"
"474","AC004865.2"
"475","TFAP2E"
"476","PSMB2"
"477","C1orf216"
"478","CLSPN"
"479","AGO4"
"480","AGO1"
"481","AL139286.2"
"482","AGO3"
"483","TEKT2"
"484","ADPRHL2"
"485","COL8A2"
"486","TRAPPC3"
"487","MAP7D1"
"488","THRAP3"
"489","SH3D21"
"490","EVA1B"
"491","AL591845.1"
"492","STK40"
"493","LSM10"
"494","OSCP1"
"495","MRPS15"
"496","CSF3R"
"497","GRIK3"
"498","AL031430.1"
"499","LINC01137"
"500","ZC3H12A"
"501","MEAF6"
"502","SNIP1"
"503","DNALI1"
"504","GNL2"
"505","C1orf109"
"506","CDCA8"
"507","MANEAL"
"508","YRDC"
"509","C1orf122"
"510","MTF1"
"511","AL929472.2"
"512","INPP5B"
"513","SF3A3"
"514","FHL3"
"515","UTP11"
"516","POU3F1"
"517","RRAGC"
"518","AL139260.1"
"519","MYCBP"
"520","AL139260.3"
"521","RHBDL2"
"522","AKIRIN1"
"523","NDUFS5"
"524","MACF1"
"525","PABPC4"
"526","HEYL"
"527","PPIE"
"528","BMP8B"
"529","OXCT2"
"530","AL033527.5"
"531","TRIT1"
"532","MYCL"
"533","MFSD2A"
"534","CAP1"
"535","PPT1"
"536","RLF"
"537","TMCO2"
"538","AL050341.2"
"539","ZMPSTE24"
"540","COL9A2"
"541","SMAP2"
"542","ZFP69B"
"543","ZFP69"
"544","AL603839.3"
"545","EXO5"
"546","ZNF684"
"547","RIMS3"
"548","NFYC-AS1"
"549","NFYC"
"550","KCNQ4"
"551","CITED4"
"552","CTPS1"
"553","SLFNL1-AS1"
"554","SLFNL1"
"555","SCMH1"
"556","FOXO6"
